Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Elemental - Normal	0	0	271	1	1	10	150	merc01	merc41	25	65	350	25	250	30	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	farw	110	Immolation Arrow	4	70	0	3	20	Ice Arrow	4	50	0	1	20	Freezing Arrow	4	60	0	2	20	Inner Sight	4	20	0	5	20	Sharpened Focus	10	0	0	5	20	Pierce	10	0	0	5	20	5	10	2	50000	ama
Rogue Scout	Elemental - Normal	0	0	271	1	1	40	150	merc01	merc41	25	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Immolation Arrow	4	70	0	15	20	Ice Arrow	4	50	0	9	20	Freezing Arrow	4	60	0	12	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	5	10	2	50000	ama
Rogue Scout	Elemental - Normal	0	0	271	1	1	85	150	merc01	merc41	25	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	70	0	25	20	Ice Arrow	4	50	0	20	20	Freezing Arrow	4	60	0	23	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	5	10	2	50000	ama
Rogue Scout	Physical - Normal	0	1	271	1	1	10	150	merc01	merc41	37	65	350	25	250	30	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	carw	110	Multiple Shot	4	70	0	3	20	Tornado Shot	4	70	0	2	20	Legendary Arrow	4	70	0	1	20	Inner Sight	4	20	0	5	20	Sharpened Focus	10	0	0	5	20	Pierce	10	0	0	5	20	5	10	2	50000	ama
Rogue Scout	Physical - Normal	0	1	271	1	1	40	150	merc01	merc41	37	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Multiple Shot	4	70	0	15	20	Tornado Shot	4	70	0	12	20	Legendary Arrow	4	70	0	9	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	5	10	2	50000	ama
Rogue Scout	Physical - Normal	0	1	271	1	1	85	150	merc01	merc41	37	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Multiple Shot	4	70	0	25	20	Tornado Shot	4	70	0	23	20	Legendary Arrow	4	70	0	20	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	5	10	2	50000	ama
Rogue Scout	Elemental - Normal	0	2	271	1	2	40	150	merc01	merc41	1500	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Immolation Arrow	4	70	0	15	20	Ice Arrow	4	50	0	9	20	Freezing Arrow	4	60	0	12	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	5	10	2	50000	ama
Rogue Scout	Elemental - Normal	0	2	271	1	2	85	150	merc01	merc41	1500	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	70	0	25	20	Ice Arrow	4	50	0	20	20	Freezing Arrow	4	60	0	23	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	5	10	2	50000	ama
Rogue Scout	Physical - Normal	0	3	271	1	2	40	150	merc01	merc41	1875	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Multiple Shot	4	70	0	15	20	Tornado Shot	4	70	0	12	20	Legendary Arrow	4	70	0	9	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	5	10	2	50000	ama
Rogue Scout	Physical - Normal	0	3	271	1	2	85	150	merc01	merc41	1875	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Multiple Shot	4	70	0	25	20	Tornado Shot	4	70	0	23	20	Legendary Arrow	4	70	0	20	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	5	10	2	50000	ama
