Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	3	3	119	3	3	119	40	560	1120	40	560	1120	10	385	2490	21	385	2490	4	6	8	4	6	8	30	78	114	30	78	114
2	7	7	132	7	7	132	60	652	1320	60	652	1320	11	407	2556	27	407	2556	6	8	12	6	8	12	40	104	152	40	104	152
3	11	11	145	11	11	145	92	748	1516	92	748	1516	14	432	2625	36	432	2625	6	8	12	6	8	12	50	131	193	50	131	193
4	15	15	158	15	15	158	132	840	1716	132	840	1716	18	450	2691	45	450	2691	8	10	14	8	10	14	60	156	229	60	156	229
5	19	19	172	19	19	172	180	936	1912	180	936	1912	20	475	2760	51	475	2760	8	10	14	8	10	14	70	182	267	70	182	267
6	23	23	185	23	23	185	232	1028	2108	232	1028	2108	24	500	2826	60	500	2826	10	14	18	10	14	18	80	207	304	80	207	304
7	27	27	198	27	27	198	288	1120	2308	288	1120	2308	28	522	2895	69	522	2895	10	14	18	10	14	18	90	234	343	90	234	343
8	31	31	211	31	31	211	348	1216	2504	348	1216	2504	32	547	2961	81	547	2961	12	16	22	12	16	22	100	260	381	100	260	381
9	35	35	224	35	35	224	404	1308	2704	404	1308	2704	71	527	2828	86	527	2828	13	17	24	13	17	24	110	285	418	110	285	418
10	39	39	239	39	39	239	460	1404	2900	460	1404	2900	81	551	2889	98	551	2889	13	17	24	13	17	24	120	312	457	120	312	457
11	42	42	252	42	42	252	520	1496	3096	520	1496	3096	83	574	2954	100	574	2954	15	20	28	15	20	28	130	338	494	130	338	494
12	46	46	265	46	46	265	576	1588	3296	576	1588	3296	93	594	3015	112	594	3015	15	20	28	15	20	28	140	363	531	140	363	531
13	50	50	278	50	50	278	632	1684	3492	632	1684	3492	102	618	3080	123	618	3080	17	22	32	17	22	32	154	401	586	154	401	586
14	54	54	291	54	54	291	688	1776	3692	688	1776	3692	111	635	3141	134	635	3141	19	24	36	19	24	36	169	440	642	169	440	642
15	58	58	305	58	58	305	748	1872	3888	748	1872	3888	120	658	3206	145	658	3206	19	24	36	19	24	36	186	482	702	186	482	702
16	62	62	318	62	62	318	804	1964	4084	804	1964	4084	130	682	3267	156	682	3267	20	28	38	20	28	38	205	533	776	205	533	776
17	66	66	331	66	66	331	860	2056	4284	860	2056	4284	140	702	3332	168	702	3332	20	28	38	20	28	38	225	584	849	225	584	849
18	70	70	344	70	70	344	920	2152	4480	920	2152	4480	149	725	3393	179	725	3393	22	30	41	22	30	41	248	644	935	248	644	935
19	74	74	357	74	74	357	976	2244	4680	976	2244	4680	146	689	3211	176	689	3211	23	30	43	23	30	43	273	708	1026	273	708	1026
20	78	78	371	78	78	371	1032	2340	4876	1032	2340	4876	157	710	3268	189	710	3268	23	30	43	23	30	43	300	779	1128	300	779	1128
21	81	81	384	81	81	384	1092	2432	5072	1092	2432	5072	168	736	3328	202	736	3328	25	34	46	25	34	46	330	857	1239	330	857	1239
22	85	85	397	85	85	397	1148	2524	5272	1148	2524	5272	181	757	3385	218	757	3385	25	34	46	25	34	46	363	942	1359	363	942	1359
23	89	89	410	89	89	410	1204	2620	5468	1204	2620	5468	192	773	3445	231	773	3445	27	36	50	27	36	50	399	1035	1491	399	1035	1491
24	93	93	423	93	93	423	1260	2712	5668	1260	2712	5668	203	796	3502	244	796	3502	28	37	54	28	37	54	439	1139	1637	439	1139	1637
25	97	97	438	97	97	438	1320	2808	5864	1320	2808	5864	216	814	3562	260	814	3562	28	37	54	28	37	54	470	1220	1750	470	1220	1750
26	101	101	451	101	101	451	1376	2900	6060	1376	2900	6060	229	835	3619	275	835	3619	30	41	55	30	41	55	503	1305	1868	503	1305	1868
27	105	105	464	105	105	464	1432	2992	6260	1432	2992	6260	244	858	3679	293	858	3679	30	41	55	30	41	55	538	1397	1995	538	1397	1995
28	109	109	477	109	109	477	1492	3088	6456	1492	3088	6456	260	874	3736	312	874	3736	32	43	59	32	43	59	576	1494	2128	576	1494	2128
29	113	113	490	113	113	490	1548	3180	6656	1548	3180	6656	251	826	3504	302	826	3504	32	42	59	32	42	59	616	1598	2271	616	1598	2271
30	117	117	504	117	117	504	1604	3276	6852	1604	3276	6852	267	922	3556	321	922	3556	32	42	59	32	42	59	659	1709	2423	659	1709	2423
31	120	120	517	120	120	517	1664	3368	7048	1664	3368	7048	283	1022	3612	340	1022	3612	34	45	62	34	45	62	706	1832	2591	706	1832	2591
32	124	124	530	124	124	530	1720	3460	7248	1720	3460	7248	300	1117	3664	360	1117	3664	34	45	62	34	45	62	755	1958	2762	755	1958	2762
33	128	128	543	128	128	543	1776	3556	7444	1776	3556	7444	315	1218	3720	379	1218	3720	35	47	66	35	47	66	808	2097	2950	808	2097	2950
34	132	132	556	132	132	556	1832	3648	7644	1832	3648	7644	331	1313	3772	398	1313	3772	37	49	69	37	49	69	864	2241	3144	864	2241	3144
35	136	136	570	136	136	570	1892	3744	7840	1892	3744	7840	347	1414	3828	417	1414	3828	37	49	69	37	49	69	925	2399	3355	925	2399	3355
36	140	140	583	140	140	583	1948	3836	8036	1948	3836	8036	363	1512	3880	436	1512	3880	39	52	73	39	52	73	990	2568	3580	990	2568	3580
37	144	144	596	144	144	596	2004	3928	8236	2004	3928	8236	380	1609	3936	456	1609	3936	39	52	73	39	52	73	1059	2745	3816	1059	2745	3816
38	148	148	609	148	148	609	2064	4024	8432	2064	4024	8432	395	1708	3988	475	1708	3988	40	54	74	40	54	74	1133	2939	4072	1133	2939	4072
39	152	152	622	152	152	622	2120	4116	8632	2120	4116	8632	377	1655	3707	453	1655	3707	40	52	73	40	52	73	1212	3144	4341	1212	3144	4341
40	156	156	637	156	156	637	2176	4212	8828	2176	4212	8828	394	1745	3755	473	1745	3755	40	52	73	40	52	73	1297	3365	4631	1297	3365	4631
41	159	159	650	159	159	650	2236	4304	9024	2236	4304	9024	412	1837	3806	495	1837	3806	41	56	76	41	56	76	1388	3600	4936	1388	3600	4936
42	163	163	663	163	163	663	2292	4396	9224	2292	4396	9224	428	1924	3854	514	1924	3854	41	56	76	41	56	76	1485	3852	5262	1485	3852	5262
43	167	167	676	167	167	676	2348	4492	9420	2348	4492	9420	445	2016	3905	534	2016	3905	43	57	80	43	57	80	1589	4121	5609	1589	4121	5609
44	171	171	689	171	171	689	2404	4584	9620	2404	4584	9620	463	2104	3953	556	2104	3953	44	59	83	44	59	83	1693	4409	5978	1693	4409	5978
45	175	175	703	175	175	703	2464	4680	9816	2464	4680	9816	480	2196	4004	576	2196	4004	44	59	83	44	59	83	1797	4718	6371	1797	4718	6371
46	179	179	716	179	179	716	2520	4772	10012	2520	4772	10012	496	2288	4052	596	2288	4052	46	62	86	46	62	86	1901	5051	6794	1901	5051	6794
47	183	183	729	183	183	729	2576	4864	10212	2576	4864	10212	515	2376	4103	618	2376	4103	46	62	86	46	62	86	2005	5402	7235	2005	5402	7235
48	187	187	742	187	187	742	2636	4960	10408	2636	4960	10408	531	2468	4151	638	2468	4151	48	64	89	48	64	89	2109	5783	7712	2109	5783	7712
49	191	191	755	191	191	755	2692	5052	10608	2692	5052	10608	498	2323	3820	598	2323	3820	46	61	85	46	61	85	2213	6186	8213	2213	6186	8213
50	195	195	769	195	195	769	2748	5148	10804	2748	5148	10804	516	2407	3864	620	2407	3864	46	61	85	46	61	85	2317	6618	8747	2317	6618	8747
51	198	198	782	198	198	782	2808	5240	11000	2808	5240	11000	535	2489	3910	642	2489	3910	48	64	88	48	64	88	2421	7080	9315	2421	7080	9315
52	202	202	795	202	202	795	2864	5332	11200	2864	5332	11200	551	2570	3954	662	2570	3954	48	64	88	48	64	88	2525	7506	9828	2525	7506	9828
53	206	206	808	206	206	808	2920	5428	11396	2920	5428	11396	570	2652	4000	684	2652	4000	49	66	91	49	66	91	2629	7956	10367	2629	7956	10367
54	210	210	821	210	210	821	2976	5520	11596	2976	5520	11596	586	2734	4060	704	2734	4060	51	67	94	51	67	94	2733	8435	10937	2733	8435	10937
55	214	214	835	214	214	835	3036	5616	11792	3036	5616	11792	605	2815	4150	726	2815	4150	51	67	94	51	67	94	2837	8942	11535	2837	8942	11535
56	218	218	848	218	218	848	3092	5708	11988	3092	5708	11988	623	2899	4270	748	2899	4270	52	70	97	52	70	97	2941	9477	12161	2941	9477	12161
57	222	222	861	222	222	861	3148	5800	12188	3148	5800	12188	640	2978	4444	768	2978	4444	52	70	97	52	70	97	3045	10044	12820	3045	10044	12820
58	226	226	874	226	226	874	3208	5896	12384	3208	5896	12384	658	3062	4616	790	3062	4616	54	72	100	54	72	100	3149	10647	13516	3149	10647	13516
59	230	230	887	230	230	887	3264	5988	12584	3264	5988	12584	608	2827	4309	730	2827	4309	51	68	95	51	68	95	3253	11286	14246	3253	11286	14246
60	234	234	902	234	234	902	3320	6084	12780	3320	6084	12780	626	2903	4464	752	2903	4464	51	68	95	51	68	95	3357	11964	15016	3357	11964	15016
61	237	237	915	237	237	915	3380	6176	12976	3380	6176	12976	645	2978	4620	774	2978	4620	53	71	98	53	71	98	3461	12680	15821	3461	12680	15821
62	241	241	928	241	241	928	3436	6268	13176	3436	6268	13176	662	3049	4775	795	3049	4775	53	71	98	53	71	98	3565	13442	16672	3565	13442	16672
63	245	245	941	245	245	941	3492	6364	13372	3492	6364	13372	680	3125	4930	817	3125	4930	54	72	100	54	72	100	3669	14249	17565	3669	14249	17565
64	249	249	954	249	249	954	3548	6456	13572	3548	6456	13572	698	3197	5085	838	3197	5085	54	72	100	54	72	100	3773	15104	18502	3773	15104	18502
65	253	253	968	253	253	968	3608	6552	13768	3608	6552	13768	715	3272	5241	858	3272	5241	56	74	103	56	74	103	3877	16010	19486	3877	16010	19486
66	257	257	981	257	257	981	3664	6644	13964	3664	6644	13964	733	3346	5396	880	3346	5396	57	77	106	57	77	106	3981	16916	20454	3981	16916	20454
67	261	261	994	261	261	994	3720	6736	14164	3720	6736	14164	750	3419	5551	901	3419	5551	57	77	106	57	77	106	4085	17822	21406	4085	17822	21406
68	265	265	1007	265	265	1007	3780	6832	14360	3780	6832	14360	769	3492	5706	923	3492	5706	58	78	109	58	78	109	4189	18728	22340	4189	18728	22340
69	269	269	1020	269	269	1020	3836	6924	14560	3836	6924	14560	700	3169	5211	840	3169	5211	55	74	104	55	74	104	4293	19634	23257	4293	19634	23257
70	273	273	1034	273	273	1034	3892	7020	14756	3892	7020	14756	718	3235	5348	862	3235	5348	55	74	104	55	74	104	4397	20540	24157	4397	20540	24157
71	276	276	1047	276	276	1047	3952	7112	14952	3952	7112	14952	735	3302	5486	883	3302	5486	57	76	105	57	76	105	4501	21446	25038	4501	21446	25038
72	280	280	1060	280	280	1060	4008	7204	15152	4008	7204	15152	753	3365	5624	904	3365	5624	57	76	105	57	76	105	4605	22352	25902	4605	22352	25902
73	284	284	1073	284	284	1073	4064	7300	15348	4064	7300	15348	771	3432	5763	926	3432	5763	58	78	107	58	78	107	4709	23258	26746	4709	23258	26746
74	288	288	1086	288	288	1086	4120	7392	15548	4120	7392	15548	789	3496	5900	947	3496	5900	59	79	110	59	79	110	4813	24164	27572	4813	24164	27572
75	292	292	1101	292	292	1101	4180	7488	15744	4180	7488	15744	806	3563	6038	968	3563	6038	59	79	110	59	79	110	4917	25070	28378	4917	25070	28378
76	296	296	1114	296	296	1114	4236	7580	15940	4236	7580	15940	823	3630	6176	988	3630	6176	61	81	113	61	81	113	5021	25976	29165	5021	25976	29165
77	300	300	1127	300	300	1127	4292	7672	16140	4292	7672	16140	842	3694	6315	1011	3694	6315	61	81	113	61	81	113	5125	26882	29931	5125	26882	29931
78	304	304	1140	304	304	1140	4352	7768	16336	4352	7768	16336	860	3761	6452	1032	3761	6452	62	83	115	62	83	115	5229	27788	30678	5229	27788	30678
79	308	308	1153	308	308	1153	4408	7860	16536	4408	7860	16536	767	3346	5766	921	3346	5766	58	78	109	58	78	109	5333	28694	31403	5333	28694	31403
80	312	312	1167	312	312	1167	4464	7956	16732	4464	7956	16732	785	3404	5887	942	3404	5887	58	78	109	58	78	109	5437	29600	32108	5437	29600	32108
81	315	315	1180	315	315	1180	4524	8048	16928	4524	8048	16928	802	3462	6008	963	3462	6008	60	80	111	60	80	111	5541	30506	32792	5541	30506	32792
82	319	319	1193	319	319	1193	4580	8140	17128	4580	8140	17128	818	3520	6129	982	3520	6129	60	80	111	60	80	111	5645	31412	33453	5645	31412	33453
