Id	prop1	chance1	par1	*skillname1	min1	max1	prop2	chance2	par2	*skillname2	min2	max2	prop3	chance3	par3	*skillname3	min3	max3	prop4	chance4	par4	*skillname4	min4	max4	prop5	chance5	par5	*skillname5	min5	max5	prop6	chance6	par6	*skillname6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	*skillname1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	*skillname2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	*skillname3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	*skillname4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	*skillname5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	*skillname6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	*skillname1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	*skillname2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	*skillname3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	*skillname4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	*skillname5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	*skillname6 (H)	min6 (H)	max6 (H)	*eol
baboon6	monrandombonus	20			20	20																															monrandombonus	30			40	40	fade				2	2																									monrandombonus	40			60	60	fade				2	2																									0
irongolemold	monrandombonus	20			20	20	fade				16	16																									monrandombonus	30			40	40	fade				16	16																									monrandombonus	40			60	60	fade				16	16																									0
mephistoback	monrandombonus	20			20	20																															monrandombonus	30			40	40	cast2				15	15	swing2				15	15																			monrandombonus	40			60	60	cast2				30	30	swing2				30	30																			0
blunderbore	monrandombonus	20			20	20	crush				25	25																									monrandombonus	30			40	40	crush				50	50																									monrandombonus	40			60	60	crush				75	75																									0
councilmember1	monrandombonus	20			20	20																															monrandombonus	30			40	40	extra-fire				40	40	extra-cold				40	40	extra-ltng				40	40													monrandombonus	40			60	60	extra-fire				100	100	extra-cold				100	100	extra-ltng				100	100													0
councilmember2	monrandombonus	20			20	20																															monrandombonus	30			40	40	extra-fire				40	40	extra-cold				40	40	extra-ltng				40	40													monrandombonus	40			60	60	extra-fire				100	100	extra-cold				100	100	extra-ltng				100	100													0
councilmember3	monrandombonus	20			20	20																															monrandombonus	30			40	40	extra-fire				40	40	extra-cold				40	40	extra-ltng				40	40													monrandombonus	40			60	60	extra-fire				100	100	extra-cold				100	100	extra-ltng				100	100													0
baalhighpriest	monrandombonus	20			20	20																															monrandombonus	30			40	40	extra-fire				60	60	extra-cold				60	60	extra-ltng				60	60													monrandombonus	40			60	60	extra-fire				120	120	extra-cold				120	120	extra-ltng				120	120													0
bloodraven	monrandombonus	20			20	20	knock				1	1																									monrandombonus	30			40	40	knock				1	1																									monrandombonus	40			60	60	knock				1	1																									0
quillrat6	monrandombonus	20			20	20																															monrandombonus	30			40	40	thorns				15	20																									monrandombonus	40			60	60	thorns				30	40																									0
quillrat7	monrandombonus	20			20	20																															monrandombonus	30			40	40	thorns				15	20																									monrandombonus	40			60	60	thorns				30	40																									0
quillrat8	monrandombonus	20			20	20																															monrandombonus	30			40	40	thorns				15	20																									monrandombonus	40			60	60	thorns				30	40																									0
druidhawkold	monrandombonus	20			20	20																															monrandombonus	30			40	40																															monrandombonus	40			60	60																															0
ancientbarb	monrandombonus	20			20	20																															monrandombonus	30			40	40																															monrandombonus	40			60	60																															0
epierce	monrandombonus	20			20	20	pierce-fire				0	10	pierce-ltng				0	10	pierce-cold				0	10	pierce-pois				0	10							monrandombonus	30			40	40	pierce-fire				5	15	pierce-ltng				5	15	pierce-cold				5	15	pierce-pois				5	15							monrandombonus	40			60	60	pierce-fire				10	20	pierce-ltng				10	20	pierce-cold				10	20	pierce-pois				10	20							0
epiercefade	monrandombonus	20			20	20	pierce-fire				0	10	pierce-ltng				0	10	pierce-cold				0	10	pierce-pois				0	10	fade				1	1	monrandombonus	30			40	40	pierce-fire				5	15	pierce-ltng				5	15	pierce-cold				5	15	pierce-pois				5	15	fade				1	1	monrandombonus	40			60	60	pierce-fire				10	20	pierce-ltng				10	20	pierce-cold				10	20	pierce-pois				10	20	fade				1	1	0
red	monrandombonus	20			20	20	state		91		1	1																									monrandombonus	30			40	40	state		91		1	1																									monrandombonus	40			60	60	state		91		1	1																									0
hireling	addxp				50	50	kill-skill		850	Kill Tracker	100	1																									addxp				50	50	kill-skill		850	Kill Tracker	100	1																									addxp				50	50	kill-skill		850	Kill Tracker	100	1																									0
a3hireling	monrandombonus	20			20	20	addxp				50	50	extra-fire				33	33	extra-ltng				33	33	extra-cold				33	33							monrandombonus	30			40	40	addxp				50	50	extra-fire				33	33	extra-ltng				33	33	extra-cold				33	33							monrandombonus	40			60	60	addxp				50	50	extra-fire				33	33	extra-ltng				33	33	extra-cold				33	33							0
cb	monrandombonus	20			20	20	crush				10	10																									monrandombonus	30			40	40	crush				20	20																									monrandombonus	40			60	60	crush				30	30																									0
cbkb	monrandombonus	20			20	20	crush				10	10	knock				1	1																			monrandombonus	30			40	40	crush				20	20	knock				1	1																			monrandombonus	40			60	60	crush				30	30	knock				1	1																			0
slow	monrandombonus	20			20	20	slow				30	30																									monrandombonus	30			40	40	slow				40	40																									monrandombonus	40			60	60	slow				50	50																									0
black	monrandombonus	20			20	20																															monrandombonus	30			40	40																															monrandombonus	40			60	60																															0
gold	monrandombonus	20			20	20	state		222		1	1																									monrandombonus	30			40	40	state		222		1	1																									monrandombonus	40			60	60	state		222		1	1																									0
cbblack	monrandombonus	20			20	20	crush				10	10																									monrandombonus	30			40	40	crush				20	20																									monrandombonus	40			60	60	crush				30	30																									0
cbfadeblack	monrandombonus	20			20	20	crush				10	10	fade				1	1																			monrandombonus	30			40	40	crush				20	20	fade				2							2													monrandombonus	40			60	60	crush				30	30	fade				2	2																			0
cbabs	monrandombonus	20			20	20	crush				10	10																									monrandombonus	30			40	40	crush				20	20																									monrandombonus	40			60	60	crush				30	30																									0
cbabspierce	monrandombonus	20			20	20	crush				10	10	pierce				30	30																			monrandombonus	30			40	40	crush				20	20	pierce				60	60																			monrandombonus	40			60	60	crush				30	30	pierce				90	90																			0
fade	monrandombonus	20			20	20	fade				1	1																									monrandombonus	30			40	40	fade				1	1																									monrandombonus	40			60	60	fade				1	1																									0
monlivingice	monrandombonus	20			20	20	nofreeze				1	1	freeze				3	3	att-skill		326	Cataclysm Mon	25	5	slow				10	10							monrandombonus	30			40	40	nofreeze				1	1	freeze				3	3	att-skill		326	Cataclysm Mon	25	15	slow				10	10							monrandombonus	40			60	60	nofreeze				1	1	freeze				3	3	att-skill		326	Cataclysm Mon	25	25	slow				10	10							0
monaoebuffondeath	monrandombonus	20			20	20	death-skill		307	Speed Buff Aoe Mon	10	1	death-skill		310	Damage Buff Aoe Mon	10	1	death-skill		311	Defense Buff Aoe Mon	10	1	death-skill		314	Heal Buff Aoe Mon	10	1							monrandombonus	30			40	40	death-skill		307	Speed Buff Aoe Mon	20	5	death-skill		310	Damage Buff Aoe Mon	20	5	death-skill		311	Defense Buff Aoe Mon	20	5	death-skill		314	Heal Buff Aoe Mon	20	5							monrandombonus	40			60	60	death-skill		307	Speed Buff Aoe Mon	30	15	death-skill		310	Damage Buff Aoe Mon	30	15	death-skill		311	Defense Buff Aoe Mon	30	15	death-skill		314	Heal Buff Aoe Mon	30	10							0
splash50	monrandombonus	20			20	20																															monrandombonus	30			40	40																															monrandombonus	40			60	60																															0
splash100	monrandombonus	20			20	20																															monrandombonus	30			40	40																															monrandombonus	40			60	60																															0
ravenimpprop	monrandombonus	20			20	20	deadly	100			10	10																									monrandombonus	30			40	40	deadly	100			20	20																									monrandombonus	40			60	60	deadly	100			30	30																									0
monfireexplosion	monrandombonus	20			20	20	death-skill		266	Fire Explosion Mon	100	1																									monrandombonus	30			40	40	death-skill		266	Fire Explosion Mon	100	1																									monrandombonus	40			60	60	death-skill		266	Fire Explosion Mon	100	1																									0
monvigor	monrandombonus	20			20	20	aura		267	Vigor Mon	1	1																									monrandombonus	30			40	40	aura		267	Vigor Mon	5	5																									monrandombonus	40			60	60	aura		267	Vigor Mon	15	15																									0
monleech	monrandombonus	20			20	20	lifesteal				100	100																									monrandombonus	30			40	40	lifesteal				100	100																									monrandombonus	40			60	60	lifesteal				100	100																									0
monignoreres	monrandombonus	20			20	20	ignore-undead-resist				1	1	ignore-demon-resist				1	1	ignore-beast-resist				1	1													monrandombonus	30			40	40	ignore-undead-resist				1	1	ignore-demon-resist				1	1	ignore-beast-resist				1	1													monrandombonus	40			60	60	ignore-undead-resist				1	1	ignore-demon-resist				1	1	ignore-beast-resist				1	1													0
monpierce	monrandombonus	20			20	20	pierce				100	100																									monrandombonus	30			40	40	pierce				100	100																									monrandombonus	40			60	60	pierce				100	100																									0
monnofreeze	monrandombonus	20			20	20	freeze				1	1	nofreeze				1	1																			monrandombonus	30			40	40	freeze				1	1	nofreeze				1	1																			monrandombonus	40			60	60	freeze				1	1	nofreeze				1	1																			0
monpierceltng	monrandombonus	20			20	20	pierce-ltng				15	15																									monrandombonus	30			40	40	pierce-ltng				25	25																									monrandombonus	40			60	60	pierce-ltng				35	35																									0
monpiercefire	monrandombonus	20			20	20	pierce-fire				15	15																									monrandombonus	30			40	40	pierce-fire				25	25																									monrandombonus	40			60	60	pierce-fire				35	35																									0
monpiercecold	monrandombonus	20			20	20	pierce-cold				15	15																									monrandombonus	30			40	40	pierce-cold				25	25																									monrandombonus	40			60	60	pierce-cold				35	35																									0
mondefault	monrandombonus	20			20	20																															monrandombonus	30			40	40																															monrandombonus	40			60	60																															0
monamplifydamage	monrandombonus	20			20	20	hit-skill		495	Amplify Damage	33	5																									monrandombonus	30			40	40	hit-skill		495	Amplify Damage	66	20																									monrandombonus	40			60	60	hit-skill		495	Amplify Damage	100	35																									0
monlowerresist	monrandombonus	20			20	20	hit-skill		520	Lower Resist	20	5																									monrandombonus	30			40	40	hit-skill		520	Lower Resist	35	15																									monrandombonus	40			60	60	hit-skill		520	Lower Resist	50	25																									0
monrandomcurse	monrandombonus	20			20	20	hit-skill		520	Lower Resist	25	5	hit-skill		495	Amplify Damage	25	5	hit-skill		508	Decrepify	25	5	hit-skill		490	Weaken	25	5							monrandombonus	30			40	40	hit-skill		520	Lower Resist	25	15	hit-skill		495	Amplify Damage	25	15	hit-skill		508	Decrepify	25	15	hit-skill		490	Weaken	25	15							monrandombonus	40			60	60	hit-skill		520	Lower Resist	25	25	hit-skill		495	Amplify Damage	25	25	hit-skill		508	Decrepify	25	25	hit-skill		490	Weaken	25	25							0
monabsorbele	monrandombonus	20			20	20	abs-fire%				30	30	abs-cold%				30	30	abs-ltng%				30	30													monrandombonus	30			40	40	abs-fire%				40	40	abs-cold%				40	40	abs-ltng%				40	40													monrandombonus	40			60	60	abs-fire%				50	50	abs-cold%				50	50	abs-ltng%				50	50													0
monlifetap	monrandombonus	20			20	20	hit-skill		511	Life Tap	33	5																									monrandombonus	30			40	40	hit-skill		511	Life Tap	66	15																									monrandombonus	40			60	60	hit-skill		511	Life Tap	100	25																									0
monzeal	monrandombonus	20			20	20	att-skill		274	Zeal Mon Aoe	25	1																									monrandombonus	30			40	40	att-skill		274	Zeal Mon Aoe	25	1																									monrandombonus	40			60	60	att-skill		274	Zeal Mon Aoe	25	1																									0
monduriel	monrandombonus	20			20	20	aura		853	Holy Freeze Old Boss	5	5																									monrandombonus	30			40	40	aura		853	Holy Freeze Old Boss	10	10																									monrandombonus	40			60	60	aura		853	Holy Freeze Old Boss	15	15																									0
duriel	monrandombonus	20			20	20	haste				10	10	aura		853	Holy Freeze Old Boss	2	2																			monrandombonus	30			40	40	haste				20	20	aura		853	Holy Freeze Old Boss	8	8																			monrandombonus	40			60	60	haste				30	30	aura		853	Holy Freeze Old Boss	15	15																			0
monreddam	monrandombonus	20			20	20	red-dmg				200	200																									monrandombonus	30			40	40	red-dmg				750	750																									monrandombonus	40			60	60	red-dmg				4500	4500																									0
monstunattack	monrandombonus	20			20	20	att-skill		10	Stun Mon	25	5																									monrandombonus	30			40	40	att-skill		10	Stun Mon	25	15																									monrandombonus	40			60	60	att-skill		10	Stun Mon	25	25																									0
moncoldexplosion	monrandombonus	20			20	20	death-skill		268	Cold Explosion Mon	100	1																									monrandombonus	30			40	40	death-skill		268	Cold Explosion Mon	100	1																									monrandombonus	40			60	60	death-skill		268	Cold Explosion Mon	100	1																									0
monfanaticism	monrandombonus	20			20	20	aura		269	Fanaticism Mon	1	1																									monrandombonus	30			40	40	aura		269	Fanaticism Mon	5	5																									monrandombonus	40			60	60	aura		269	Fanaticism Mon	15	15																									0
mephisto	monrandombonus	20			20	20	gethit-skill		270	SNova Mon	5	1	cast2				30	30	pierce-res-all				10	10													monrandombonus	30			40	40	pierce-res-all				20	20	gethit-skill		270	SNova Mon	5	1	cast2				50	50													monrandombonus	40			60	60	pierce-res-all				30	30	gethit-skill		270	SNova Mon	5	1	cast2				80	80													0
monfirenova	monrandombonus	20			20	20	att-skill		271	Fire Nova Golem Mon	25	1																									monrandombonus	30			40	40	att-skill		271	Fire Nova Golem Mon	25	1																									monrandombonus	40			60	60	att-skill		271	Fire Nova Golem Mon	25	1																									0
