index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Autolycus' Magic Tools	Autolycus' Magic Tools	0	hp%		10	10	mana%		10	10																									allskills		1	1	deadly		25	25	regen		10	10	dmg-ac		-10	-10	all-stats		10	10													0
Achilles' Advantage	Achilles' Advantage	0	hp%		10	10	deadly		20	20																									allskills		2	2	swing2		20	20	res-all		20	20	crush		20	20	red-dmg%		15	15													0
Diablo's End	Diablo's End	0	dmg-demon		150	150	swing2		20	20	hp%		15	15	mana%		15	15																	allskills		4	4	mag%		75	75	res-all		30	30	oskill	Apocalypse	1	1	ac		300	300	all-stats		20	20									0
Planet's Veneration	Planet's Veneration	0	mana%		15	15	hp%		15	15	nofreeze		1	1	dmg%		50	50																	allskills		4	4	res-all		50	50	cast3		20	20	regen		10	10	regen-mana		30	30	all-stats		15	15	addxp		10	10	oskill	Teleport	1	1	0
Waves of Ascension	Waves of Ascension	0	regen		30	30	regen-mana		30	30	lifesteal		8	8	manasteal		8	8																	allskills		3	3	mag%		150	150	res-all		40	40	hit-skill	Teeth	5	30	all-stats		15	15	swing3		30	30	oskill	Killer Scythe	1	1	att-skill	Killer Scythe Proc	33	15	0
Shepherd's Delight	Shepherd's Delight	0	mag%		150	150	gold%		150	150																									allskills		5	5	dmg/lvl	16			hp		150	150	mana		150	150	red-dmg%		30	30	oskill	Undead Frenzy	3	3	oskill	Call of the Wild	3	3	extra-summ-total		20	20	0
Tasselhoff's Traveling Gear	Tasselhoff's Traveling Gear	0	vit		25	25	enr		25	25																									allskills		3	3	mag%		100	100	res-all		50	50	gold%		100	100	ac		400	400	balance3		40	40	cast3		20	20	oskill	Find Potion	3	3	0
Arctic Gear	Arctic Gear	0	hp%		10	10	mana%		10	10																									ama		1	1	hit-skill	Cold Enhanced Arrow	15	10	res-all		20	20	swing1		20	20	all-stats		10	10	extra-cold		25	25	addxp		10	10					0
Gabrielle's Innocence	Gabrielle's Innocence	0	hp%		15	15	mana%		15	15																									ama		3	3	res-all		30	30	dmg-norm		18	20	ac		300	300	mag%		50	50	all-stats		10	10	addxp		10	10	oskill	Blade Nova	3	3	0
Lixo's Feathers	Lixo's Feathers	0	skilltab	0	1	1	dex		10	10																									ama		4	4	res-all		40	40	pierce		33	33	mag%		100	100	all-stats		20	20	dmg-min		40	40	pierce-ltng		40	40	kill-skill	Super Nova	2	30	0
