skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
attack	0	0	0	0	2		skillname0	skillld0	skillld0	skillname0	1												2				36	crossbowreloadtime	crossbowreloadtimesingular	clc4	25																																																																																						0
kick	0	0	0	-1	0		skillname1	skillld1	skillld1	skillname1	2																																																																																																										0
throw	0	0	0	0	6		skillname2	skillld2	skillld2	skillname2	3												3																																																																																														0
unsummon	0	0	0	0	4		skillname3	skillld3	skillld3	skillname3																																																																																																											0
left hand throw	0	0	0	0	12		skillname4	skillld4	skillld4	skillname4	4												4																																																																																														0
left hand swing	0	0	0	-1	10		skillname5	skillld5	skillld5	skillname5																																																																																																											0
magic arrow	1	1	3	1	0	33	skillname6	magicarrow3	magicarrow3	skillname6	5												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ast1		74	StrSkill22		toht		74	cosmicshards		(24/clc4)*2		36	StrSkillRadiusSingular	StrSkill18	min(18,(12+lvl/3))	3	74	phystomagicdesc		min(100,49+lvl)		74	WeapDamsk		25		74	cosmicshardsperlevel		15																	40	Sksyn	skillname6	2		76	Damplev	skillname9	par8		76	AttRateplev	Skillname362	par8		18	magicarrowmissilesynergy																			0
fire arrow	1	1	2	1	2	1	poisonarrow1	poisonarrow3	poisonarrow3	poisonarrow1	6																36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256	74	StrSkill22		toht																																					40	Sksyn	poisonarrow1	2		76	Poisdplev	skillname27	par8		76	Poisdplev	skillname31	par8		76	Poisdplev	lightningarrow1	par8																	0
inner sight	2	2	1	2	4	0	skillname8	skillld8	skillld8	skillname8																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	bonusphysicalresist		ast2		74	totaldefensepenalty		ast1		36	StrSkillRadiusSingular	StrSkill18	rng*2	3						74	enemyelementalandpoisonres		ast3																						40	Sksyn	skillname8	2		76	Defplev	skillname23	-par8		76	Defplev	sharpenedfocus1	-par8																						0
critical strike	2	1	3	2	6		skillname9	skillld9	skillld9	skillname9																	74	StrSkill285b		pst1																											74	selfsynergyeffect		3																																																									0
cold arrow	1	3	3	1	10	3	skillname11	coldarrow3	coldarrow3	skillname11	5												1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	74	StrSkillDamagePercent		ast1		74	StrSkill22		toht		74	phystocolddesc		min(100,49+lvl)							74	WeapDamsk		50																						40	Sksyn	skillname11	2		76	Damplev	skillname9	par8		76	AttRateplev	skillname16	par8		18	coldarrowchainsynergy																			0
multiple shot	1	2	1	1	12	27	skillname12	skillld12	skillld12	skillname12	7	clc5											1				36	StrSkill3		usmc	256	5	ESkillMiss		clc1		74	StrSkillDamagePercent		clc5		74	StrSkill22		toht		74	enemymagicresist		ast1*(clc4==3)							74	WeapDamsk		25		74	phystomagicdesc		min(100,skill('Magic Arrow'.blvl)*5)																	40	Sksyn	skillname12	2		76	phystomagic	skillname6	5		76	Damplev	Skillname363	par8		76	AttRateplev	skillname6	par8		18	multipleshotchainsynergy														0
dodge	2	3	3	2	14		skillname13	dodge3	dodge3	skillname13																	74	StrSkill24		pst1																											74	selfsynergyeffect		3																																																									0
exploding arrow	1	5	3	1	20	2	skillname16	explodingarrow3	explodingarrow3	skillname16	5												1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ast1		74	StrSkill22		toht							36	StrSkillRadiusSingular	StrSkill18	min(18,(12+lvl/3))	3	74	phystofiredesc		min(100,49+lvl)		74	WeapDamsk		50																						40	Sksyn	skillname16	2		76	Damplev	skillname9	par8		76	AttRateplev	skillname11	par8		18	explodingarrowmeteorsynergy																			0
avoid	2	2	3	2	46		sway1	sway3	sway3	sway1																	74	flatdefense		pst1																											74	selfsynergyeffect		3																																																				0					0
ice arrow	1	6	2	1	30	62	lightningarrow1	lightningarrow3	lightningarrow3	lightningarrow1	6												1				36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	StrSkill22		toht		74	StrSkill72		clc1																																					40	Sksyn	lightningarrow1	2		76	Ltngdplev	poisonarrow1	par8		76	Ltngdplev	skillname27	par8		76	Ltngdplev	skillname31	par8																	0
penetrate	2	4	3	2	34		skillname23	skillld23	skillld23	skillname23																	74	ModStr5o		pst1		74	StrSkill22		pst2																						74	selfsynergyeffect		3																																																									0
plague javelin	3	3	3	3	38		skillname25	plaguejavelin3	plaguejavelin3	skillname25	22													plaguejavsplash			36	StrSkill3		usmc	256	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	36	StrSkillRadiusSingular	StrSkill18	rng	3	75	StrSkill8		enms*edln/256	exms*edln/256	75	instantpoisondamage		m1en	m1ex																															40	Sksyn	skillname25	2		76	Poisdplev	splinteringjavelin1	par8		76	Poisdplev	frostjavelin1	par8		76	Poisdplev	pyrejavelin1	par8		76	Poisdplev	skillname35	par8												0
strafe	1	6	1	1	40	30	skillname26	skillld26	skillld26	skillname26	7	clc2											1				36	StrSkill3		usmc	256	74	mainmissiledamage		clc2		74	StrSkill22		toht		74	StrSkill86		clc1		74	strafemaintarget		clc3							74	WeapDamsk		65		18	strafechain																			40	Sksyn	skillname26	2		76	Damplev	Skillname363	par8		76	AttRateplev	skillname12	par8		18	strafemaintargetsynergy																			0
immolation arrow	1	2	2	1	42	32	skillname27	skillxld27	skillxld27	skillname27	9												1	immolationfire			36	StrSkill3		usmc	256	36	StrSkillFireDurationSingular	StrSkill82	miss('immolationfire'.rang)	25	75	StrSkillFireDamageAveragePerSecond		enms	exms																																									40	Sksyn	skillname27	2		76	Firedplev	poisonarrow1	par8		76	Firedplev	skillname31	par8		76	Firedplev	lightningarrow1	par8																	0
valkyrie mastery	2	6	1	2	44		valkyriemastery1	valkyriemastery3	valkyriemastery3	valkyriemastery1																	74	valkyriemasterypets		lvl/20		74	valkyriemasterylife		lvl*20		74	valkyriemasteryequipmentlevel		lvl		74	valkyriemasterydamage		10*lvl		74	valkyriemasterylevels		lvl/5																																																																			0
evade	2	1	1	2	70		petrify1	petrify3	petrify3	petrify1																	36	Cgslow		-ast1		36	StrSkillDurationSingular	StrSkill20	len	25	74	enemymagicresist		ast2		36	StrSkillRadiusSingular	StrSkill18	rng*2	3											18	petdurplvl																								40	Sksyn	petrify1	2		25	skillname8	012secplev			76	Slowfrwplev	sharpenedfocus1	par8																						0
fend	3	2	1	3	48	24	skillname30	skillld30	skillld30	skillname30	7	clc5											1				36	StrSkill3		usmc	256	74	StrSkill22		toht		36	smallernovaradius	smallernovaradius	min(12,6+lvl/4)	3	36	biggernovaradius	biggernovaradius	min(24,12+lvl/2)	3	74	enemyphysicalresist		ast1		74	enemymovementspeed		ast2		74	WeapDamsk		20		36	debuffduration	debuffduration	len	25	18	spearorjavelinrequirement				74	phystocolddesc		min(100,skill('Hailstorm'.blvl)*5)							40	Sksyn	skillname30	2		76	phystocold	shadowstrike1	5		76	enemyphysresistperxlevels	Skillname364	par8		76	AttRateplev	spearstorm1	par8		18	fenddurationsynergy														0
freezing arrow	1	4	2	1	50	4	skillname31	skillxld31	skillxld31	skillname31	6																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		enma	exma	5	ESkillMiss		clc1												36	StrSkillRadiusSingular	StrSkill18	18	3																					40	Sksyn	skillname31	2		76	Colddplev	poisonarrow1	par8		76	Colddplev	skillname27	par8		76	Colddplev	lightningarrow1	par8																	0
valkyrie	2	4	1	2	52		skillname32	skillld32	skillld32	skillname32																	74	StrSkill21		pst1		74	StrSkillDamagePercent		pst3		74	StrSkill22		toht		13	StrSkill42		clc1		5	StrSkill156		clc2		74	StrSkill54		ast3		36	StrSkill3		usmc	256	18	StrSkill157				5	ESkillValk		pets		18	valkyrieaura									40	Sksyn	skillname32	2		76	valkyriepassivesynergy	skillname23	1		76	valkyriepassivesynergy	skillname9	1		76	valkyriepassivesynergy	skillname13	1		76	valkyriepassivesynergy	sway1	1		76	valkyriespearstormsynergy	spearstorm1	2							0
pierce	2	6	3	2	54		skillname33	skillld33	skillld33	skillname33																	74	StrSkillPiercingChance		pst1																											74	selfsynergyeffect		3																						40	Sksyn	skillname33	2		76	totalpiercesynergy	Skillname363	2																											0
lightning strike	3	6	2	3	56	35	skillname34	lightningstrike3	lightningstrike3	skillname34	6												1				36	StrSkill3		usmc	256	5	ESkillMiss		clc1/clc6		75	StrSkill7		enma	exma	74	StrSkill22		toht		74	phystolightningdesc		min(100,49+lvl)							74	WeapDamsk		50		18	spearorjavelinrequirement																			40	Sksyn	skillname34	2		76	Damplev	firestrike1	par8		76	AttRateplev	shadowstrike1	par8		18	lightningstrikedoublesynergy																			0
lightning fury	3	6	3	3	58		skillname35	lightningfury3	lightningfury3	skillname35	22																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					74	StrSkillReleasesBolts		20																						40	Sksyn	skillname35	2		76	Ltngdplev	splinteringjavelin1	par8		76	Ltngdplev	skillname25	par8		76	Ltngdplev	pyrejavelin1	par8		76	Ltngdplev	frostjavelin1	par8												0
fire bolt	1	1	3	1	0	13	skillname36	skillld36	skillld36	skillname36	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					74	fireboltstacks		6																						40	Sksyn	skillname36	2		76	Firedplev	skillname47	par8		76	Firedplev	rainoffire1	par8		76	Firedplev	moltenfocus1	par8*2																	0
warmth	3	3	2	3	2		soulshiver1	skillld37	skillld37	soulshiver1																	74	StrSkill88		pst1																											74	selfsynergyeffect		3																																																									0
ice bolt	3	1	3	3	6		skillname39	skillld39	skillld39	skillname39	5																36	StrSkill3		usmc	256	74	uptoshardnumber		clc1		36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																																				40	Sksyn	skillname39	2		76	Colddplev	skillname55	par8		76	Colddplev	permafrost1	par8		76	Colddplev	glacialfocus1	par8*2																	0
frozen armor	2	1	2	2	8	18	shockarmor1	shockarmor3	shockarmor3	shockarmor1																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill21		ast1		74	StrSkill224		-ast2		74	totalattackandmovementspeed		ast3																																40	Sksyn	shockarmor1	2		76	bonuseffectivenesssynergy	staticfocus1	par8																											0
static field	2	3	1	2	12	21	skillname42	skillld42	skillld42	skillname42																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	75	StrSkill33		clc2/256	clc1																																									40	Sksyn	skillname42	2		76	Ltngdplev	skillname43	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	staticfocus1	par8*2																	0
telekinesis	2	1	1	2	14		skillname43	skillld43	skillld43	skillname43	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	74	uptolightningresistreduction		clc2																																										40	Sksyn	skillname43	2		76	Ltngdplev	skillname42	par8		76	Ltngdplev	lighthydra1	par8		76	Ltngdplev	staticfocus1	par8*2																	0
