Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Gold			1						"gld,mul=256"	1																								0
Nothing			0																															0
Ammo			1						aq2	1	cq2	1	Nothing	2																				0
Misc 0			1						key	6	tsc	4	isc	4	vps	1	yps	2	wms	1														0
Misc 1			1						key	6	tsc	4	isc	4	vps	1	yps	2	wms	1														0
Misc 2			1						key	6	tsc	4	isc	4	vps	1	yps	2	wms	1														0
Potion 1			1						hp1	12	hp2	4	mp1	6	mp2	2	rvs	1																0
Potion 2			1						hp1	4	hp2	8	hp3	4	mp1	2	mp2	4	mp3	2	rvs	1												0
Potion 3			1						hp2	8	hp3	8	mp2	4	mp3	4	rvs	1																0
Potion 4			1						hp2	4	hp3	8	hp4	4	mp2	2	mp3	4	mp4	2	rvs	1												0
Potion 5			1						hp4	8	mp4	4	rvs	1																				0
Potion 6			1						hp3	4	hp4	8	hp5	4	mp3	2	mp4	4	mp5	2	rvs	1												0
Potion 7			1						hp4	6	hp5	6	mp4	3	mp5	3	rvs	7	Nothing	25														0
Act 1 Junk			1					25	Potion 1	8	Ammo	3																						0
Act 2 Junk			1					25	Potion 2	8	Ammo	3																						0
Act 3 Junk			1					25	Potion 3	8	Ammo	3																						0
Act 4 Junk			1					25	Potion 4	8	Ammo	3																						0
Act 5 Junk			1					25	Potion 5	8	Ammo	3																						0
Act 1 (N) Junk			1					25	Potion 6	8	Ammo	3																						0
Act 2 (N) Junk			1					25	Potion 6	8	Ammo	3																						0
Act 3 (N) Junk			1					25	Potion 6	8	Ammo	3																						0
Act 4 (N) Junk			1					25	Potion 6	8	Ammo	3																						0
Act 5 (N) Junk			1					25	Potion 6	8	Ammo	3																						0
Act 1 (H) Junk			1					25	Potion 7	8	Ammo	3																						0
Act 2 (H) Junk			1					25	Potion 7	8	Ammo	3																						0
Act 3 (H) Junk			1					25	Potion 7	8	Ammo	3																						0
Act 4 (H) Junk			1					25	Potion 7	8	Ammo	3																						0
Act 5 (H) Junk			1					25	Potion 7	8	Ammo	3																						0
Class Rings			1						srn	1	brg	1	nrn	1	prn	1	drn	1	zrn	1	arn	1												0
Rings			1						rin	2	Class Rings	1	Nothing	3																				0
Class Amulets			1						sam	1	bam	1	nam	1	pam	1	dam	1	zam	1	aam	1												0
Amulets			1						amu	2	Class Amulets	1	Nothing	3																				0
Jewels			1						jew	2	Nothing	1																						0
Pandemonium Key A			1	1024				20	pk1	20																								0
Pandemonium Key B			1	1024				20	pk2	20																								0
Pandemonium Key C			1	1024				20	pk3	20																								0
Worldstone Shards			1					30	wss	1	Nothing	30																						0
Regular Charms			1						cx1	1	cx2	1	cx3	1	Nothing	3																		0
Unique Charm 1			1	1024					The Perfect Cell	6	Yello Jello	6	Lothar's Will	6	Deviant Cell	4																		0
Unique Charm 2			1	1024					The Perfect Cell	6	Yello Jello	6	Lothar's Will	6	Gheed's Fortune	5	Deviant Cell	4	Vlad Tepe's Sustenance	1	Something Wicked	1	The Unknown Hero	1										0
Unique Charm Small			1	1024					The Perfect Cell	6	Vlad Tepe's Sustenance	1																						0
DDD6			-6						ddd	1	ddd	1	ddd	1	ddd	1	ddd	1	ddd	1														0
DDD5			-5						ddd	1	ddd	1	ddd	1	ddd	1	ddd	1																0
DDD4			-4						ddd	1	ddd	1	ddd	1	ddd	1																		0
DDD3			-3						ddd	1	ddd	1	ddd	1																				0
DDD2			-2						ddd	1	ddd	1																						0
DDD1			1						ddd	64	DDD2	16	DDD3	8	DDD4	4	DDD5	2	DDD6	1														0
Jewelry A			1						Rings	72	Amulets	48	Jewels	36	ppp	9	Regular Charms	72	DDD1	18	sdo	1												0
Jewelry B			1						Jewelry A	129	Unique Charm 1	1																						0
Jewelry C			1						Jewelry A	129	Unique Charm 2	1																						0
Chipped Gem			1						gcv	1	gcy	1	gcb	1	gcg	1	gcr	1	gcw	1	skc	1	gck	1										0
Flawed Gem			1						gfv	1	gfy	1	gfb	1	gfg	1	gfr	1	gfw	1	skf	1	gfk	1										0
Normal Gem			1						gsv	1	gsy	1	gsb	1	gsg	1	gsr	1	gsw	1	sku	1	gsk	1										0
Flawless Gem			1						gzv	1	gly	1	glb	1	glg	1	glr	1	glw	1	skl	1	gzk	1										0
Blemished Gem			1						gpv	1	gpy	1	gpb	1	gpg	1	gpr	1	gpw	1	skz	1	gpk	1										0
Perfect Gem			1						gvb	1	gyb	1	gbb	1	ggb	1	grb	1	gwb	1	skb	1	gpk	1										0
Unique Ore Crystals 0			2						xl0	6	xr1	5	xr2	5	xr3	5																		0
Unique Ore Crystals 1			2						xl1	6	xr2	5	xr3	5	xr4	5																		0
Unique Ore Crystals 2			2						xl2	6	xr3	5	xr4	5	xr5	5																		0
Unique Ore Crystals 3			2						xl3	6	xr4	5	xr5	5	xr6	5																		0
Unique Ore Crystals 4			2						xl4	6	xr5	5	xr6	5	xr7	5																		0
Unique Ore Crystals 5			2						xl5	6	xr6	5	xr7	5	xr8	5																		0
Unique Ore Crystals 6			2						xl6	6	xr7	5	xr8	5	xr9	5																		0
Unique Ore Crystals 7			2						xl7	6	xr8	5	xr9	5	xrx	5																		0
Unique Ore Crystals 8			2						xl8	6	xr9	5	xrx	5	xry	5																		0
Unique Ore Crystals 9			2						xl9	6	xrx	5	xry	5	xr0	5																		0
Unique Ore Crystals 10			2						xlx	6	xry	5	xr0	5	xr1	5																		0
Unique Ore Crystals 11			2						xly	6	xr0	5	xr1	5	xr2	5																		0
Unique Ore 0			-2						Unique Ore Crystals 0	1	Uni Ore 0	1																						0
Unique Ore 1			-2						Unique Ore Crystals 1	1	Uni Ore 1	1																						0
Unique Ore 2			-2						Unique Ore Crystals 2	1	Uni Ore 2	1																						0
Unique Ore 3			-2						Unique Ore Crystals 3	1	Uni Ore 3	1																						0
Unique Ore 4			-2						Unique Ore Crystals 4	1	Uni Ore 4	1																						0
Unique Ore 5			-2						Unique Ore Crystals 5	1	Uni Ore 5	1																						0
Unique Ore 6			-2						Unique Ore Crystals 6	1	Uni Ore 6	1																						0
Unique Ore 7			-2						Unique Ore Crystals 7	1	Uni Ore 7	1																						0
Unique Ore 8			-2						Unique Ore Crystals 8	1	Uni Ore 8	1																						0
Unique Ore 9			-2						Unique Ore Crystals 9	1	Uni Ore 9	1																						0
Unique Ore 10			-2						Unique Ore Crystals 10	1	Uni Ore 10	1																						0
Unique Ore 11			-2						Unique Ore Crystals 11	1	Uni Ore 11	1																						0
Unique Ore 12			3						xr0	1	xr1	1	xr2	1	xr3	1	xr4	1	xr5	1														0
Unique Ore 13			3						xr6	1	xr7	1	xr8	1	xr9	1	xr10	1	xr11	1														0
Unique Ore 14			3						xr0	1	xr2	1	xr4	1	xr6	1	xr8	1	xr10	1														0
Unique Ore 15			3						xr1	1	xr3	1	xr5	1	xr7	1	xr9	1	xr11	1														0
Ore			1						Unique Ore 12	1	Unique Ore 13	1	Unique Ore 14	1	Unique Ore 15	1	Nothing	2																0
Special Craft Stuff			2						ddd	1	Ore	1	yyy	1	ppp	1	Perfect Gem	1																0
Special Craft StuffN			2						ddd	1	Ore	1	yyy	1	ppp	1	Perfect Gem	1																0
Special Craft StuffH			2						qqq	1	ddd	1	Ore	1	yyy	1	ppp	1	Perfect Gem	1														0
Runes 1			1						r01	35	r02	30	r03	25	01l	14	02l	12	03l	10														0
Runes 2			1						r04	35	r05	30	r06	25	04l	14	05l	12	06l	10	Runes 1	180												0
Runes 3			1						r07	35	r08	30	r09	25	07l	12	08l	10	Runes 2	300														0
Runes 4			1						r10	35	r11	30	r12	25	09l	12	10l	10	Runes 3	420														0
Runes 5			1						r13	35	r14	30	r15	25	11l	12	12l	10	Runes 4	540														0
Runes 6			1						r16	35	r17	30	r18	25	13l	12	14l	10	Runes 5	720														0
Runes 7			1						r19	35	r20	30	r21	25	15l	12	16l	10	Runes 6	900														0
Runes 8			1						r22	35	r23	30	r24	25	17l	12	18l	10	Runes 7	1140														0
Runes 9			1						r25	28	r26	26	r27	24	19l	12	20l	10	Runes 8	1440														0
Runes 10			1						r28	26	r29	24	r30	22	21l	10	22l	8	Runes 9	1740														0
Runes 11			1						r31	24	r32	22	r33	20	23l	10	24l	8	Runes 10	2100														0
Runes 12			1						r34	22	r35	20	r36	18	25l	10	26l	8	Runes 11	2400														0
Runes 13			1						r37	20	r38	18	r39	16	27l	8	28l	6	Runes 12	2880														0
Runes 14			1						r40	18	r41	16	r42	14	29l	8	30l	6	Runes 13	3360														0
Runes 15			1						r43	16	r44	14	r45	12	31l	8	32l	6	Runes 14	3840														0
Runes 16			1						r50	24	r46	30	33l	18	um8	1	um9	1	u20	1	Runes 15	12960												0
Charm JP			6						cx1	1	cx2	1	cx3	1																				0
Rune JP (Norm)			-6						Runes 6	6																								0
Rune JP (NM)			-6						Runes 11	6																								0
Rune JP (H)			-6						Runes 16	6																								0
Act 1 Good	5	0	1						Jewelry A	60	Chipped Gem	48	Runes 1	5	Runes 2	6																		0
Act 2 Good	5	12	1						Jewelry A	68	Flawed Gem	14	Runes 2	4	Runes 3	5																		0
Act 3 Good	5	18	1						Jewelry A	68	Flawed Gem	21	Runes 3	4	Runes 4	5																		0
Act 4 Good	5	26	1						Jewelry A	68	Normal Gem	18	Runes 4	4	Runes 5	5																		0
Act 5 Good	5	32	1						Jewelry A	68	Normal Gem	16	Flawless Gem	8	Runes 7	6																		0
Act 1 (N) Good	5	38	1						Jewelry B	68	Flawless Gem	1	Blemished Gem	3	Runes 8	9																		0
Act 2 (N) Good	5	42	1						Jewelry B	68	Flawless Gem	3	Blemished Gem	3	Runes 9	9																		0
Act 3 (N) Good	5	46	1						Jewelry B	68	Flawless Gem	5	Blemished Gem	3	Runes 10	9																		0
Act 4 (N) Good	5	51	1						Jewelry B	68	Flawless Gem	1	Blemished Gem	5	Runes 11	9																		0
Act 5 (N) Good	5	57	1						Jewelry B	68	Blemished Gem	3	Perfect Gem	1	Runes 12	9																		0
Act 1 (H) Good	5	66	1						Jewelry C	68	Blemished Gem	1	Perfect Gem	2	Runes 13	9																		0
Act 2 (H) Good	5	72	1						Jewelry C	68	Blemished Gem	1	Perfect Gem	2	Runes 14	9																		0
Act 3 (H) Good	5	78	1						Jewelry C	68	Blemished Gem	3	Perfect Gem	2	Runes 15	9																		0
Act 4 (H) Good	5	82	1						Jewelry C	68	Blemished Gem	3	Perfect Gem	2	Runes 16	9																		0
Act 5 (H) Good	5	85	1						Jewelry C	68	Blemished Gem	3	Perfect Gem	3	Runes 16	9																		0
Act 1 Coupon A			1						05f	6	06f	6	07f	6	08f	6	03f	6	02c	6	02f	6	01f	6	01c	6			54					0
Act 1 Coupon B			1						13f	6	05c	6	01j	6	06c	6	09f	6	10f	6	04c	6	03c	6	04f	6	Act 1 Coupon A	37	54					0
Act 1 Coupon C			1						09c	6	08c	6	07c	6	14f	6	15f	6	16f	6	17f	6	11f	6	12f	6	Act 1 Coupon B	73	54					0
Act 2 Coupon A			1						22f	6	23f	6	10c	6	21f	6	20f	6	11c	6	19f	6	01i	6	18f	6	Act 1 Coupon C	110	54					0
Act 2 Coupon B			1						19c	6	15c	6	25f	6	27f	6	14c	6	13c	6	26f	6	12c	6	16c	6	Act 2 Coupon A	146	54					0
Act 2 Coupon C			1						16c	6	30f	6	29f	6	28f	6	18c	6	17c	6	02j	6	02i	6	20c	6	Act 2 Coupon B	183	54					0
Act 3 Coupon A			1						34f	6	35f	6	32f	6	33f	6	24c	6	31f	6	23c	6	22c	6	21c	6	Act 2 Coupon C	219	54					0
Act 3 Coupon B			1						27c	6	26c	6	29c	6	28c	6	25c	6	36f	6	37f	6	38f	6	39f	6	Act 3 Coupon A	256	54					0
Act 3 Coupon C			1						32c	6	31c	6	34c	6	42f	6	30c	6	43f	6	44f	6	40f	6	41f	6	Act 3 Coupon B	292	54					0
