index	*ID	version	enabled	*Skip Generation	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
The Perfect Cello	0	100	0	1		6	1	35	40	cm1	Small Charm	1	6	10000	cgrn	cgrn						regen		150	200	regen-mana		50	100	stam		200	300	lifesteal		10	15	manasteal		10	15																														0
Yello Jello	1	100	1			6	1	35	40	cm2	Large Charm		6	10000	lyel	lyel						swing1		5	10	ltng-min		12	24	ltng-max		48	72	light-thorns		15	30	stam		15	45	res-all		5	10	cast2		5	10																						0
Lothar's Will	2	100	1			6	1	35	40	cm3	Grand Charm		6	10000	cblu	cblu						mana%		6	12	cast1		6	12	dmg-to-mana		6	12	allskills		1	1																																		0
Deviant Cell	3	100	1			1	1	35	40	cm4	Odd Charm		6	10000	oran	oran						str		10	15	dmg/lvl	2			mag%		30	30	ac		100	100	dex		10	15	allskills		2	2	regen		-15	-15																						0
Vlad Tepe's Sustenance	4	100	1			1	1	70	80	cm1	Small Charm		6	10000	blac	blac						abs-elem%		1	2	mag%		30	50	res-all		20	30	red-dmg%		10	15	res-pois-len		50	50																														0
Something Wicked	5	100	1			1	1	70	80	cm2	Large Charm		6	10000	dblu	dblu						ama		0	1	ass		0	1	bar		0	1	dru		0	1	nec		0	1	pal		0	1	sor		0	1	res-all		10	15	mana/lvl	8																0
The Unknown Hero	6	100	1			1	1	70	80	cm3	Grand Charm		6	10000	dgrn	dgrn						allskills		1	1	thorns		100	150	red-mag		5	10	red-dmg		5	10	str		10	20	dex		10	20	swing1		10	20	enr		10	20	cast2		10	20														0
Fallen Star	7	0	1			6	1	10	5	rin	Ring		7	15000	dblu	dblu		invrin1				mana		15	30	hp		25	50	mag%		35	50	red-mag		5	10	res-all		20	40	rip		1	1																										0
Dragon Eye	8	0	1			5	1	20	10	rin	Ring		8	20000	lred	lred		invrin2				hit-skill	Fire Surge	2	5	hit-skill	Cold Surge	2	5	hit-skill	Lightning Surge	2	5	regen		50	100	regen-mana		25	75	extra-fire		15	20	extra-ltng		15	20	extra-cold		15	20																		0
Ring of Vengeance	9	0	1			4	1	30	20	rin	Ring		9	25000	dgry	dgry		invrin3				att%		15	30	hp/lvl	8			dmg/lvl	4			thorns		400	800	lifesteal		6	10	pierce		25	50	dmg-norm		15	25																						0
Elemental Jewel	10	0	1			3	1	40	30	rin	Ring		10	30000	cred	cred		invrin4				res-all		30	40	res-all-max		1	2	gold%		50	50	dmg-fire		200	300	dmg-ltng		1	500	dmg-cold	250	225	275	allskills		1	2																						0
Zodiac Band	11	0	1			1	1	60	50	rin	Ring		12	40000	cgrn	cgrn		invrin5				allskills		1	3	all-stats		20	40	swing2		20	20	cast2		20	20	move2		20	20	mana-kill		20	40	strpercent		10	30	dexpercent		10	30	vitpercent		10	30	enepercent		10	30										0
The One Ring	12	0	1			1	1	75	60	rin	Ring		12	40000				invrin7				allskills		1	3	regen		-1	-250	res-all		1	40	red-mag		1	50	red-dmg%		1	10	mag%		100	100	hp%		15	30	mana%		15	30	oskill	Fade	1	15	aura	Cloak of Shadows Aura	5	20										0
Lily Petal	13	0	1			16	1	45	45	zrn	Ring		12	40000	dgrn	dgrn						ama		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Penetrate	1	10	swing1		20	20	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Forget-Me-Not Petal	14	0	1			16	1	45	45	srn	Ring		12	40000	lblu	lblu						sor		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Warmth	1	10	cast1		20	20	charged	Spirit of Nature	5	5	heal-kill		5	10	gold%		20	40										0
Cactus Petal	15	0	1			16	1	45	45	nrn	Ring		12	40000	cgrn	cgrn						nec		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Bone Armor	1	10	regen-mana		35	35	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
White Rose Petal	16	0	1			16	1	45	45	prn	Ring		12	40000	bwht	bwht						pal		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Holy Shield	1	10	block		2	2	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Violet Petal	17	0	1			16	1	45	45	brg	Ring		12	40000	lpur	lpur						bar		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Battle Orders	1	10	dmg-to-mana		20	30	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
